measure,dateTime,date,value,completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-03T09:00:00,03/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-04T09:00:00,04/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-05T09:00:00,05/09/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-06T09:00:00,06/09/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-07T09:00:00,07/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-08T09:00:00,08/09/2000,2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-09T09:00:00,09/09/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-10T09:00:00,10/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-11T09:00:00,11/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-12T09:00:00,12/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-13T09:00:00,13/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-14T09:00:00,14/09/2000,5.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-15T09:00:00,15/09/2000,14.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-16T09:00:00,16/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-17T09:00:00,17/09/2000,3.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-18T09:00:00,18/09/2000,5,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-19T09:00:00,19/09/2000,14.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-20T09:00:00,20/09/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-21T09:00:00,21/09/2000,3.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-22T09:00:00,22/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-23T09:00:00,23/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-24T09:00:00,24/09/2000,6.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-25T09:00:00,25/09/2000,9.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-26T09:00:00,26/09/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-27T09:00:00,27/09/2000,14,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-28T09:00:00,28/09/2000,0.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-29T09:00:00,29/09/2000,1.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-09-30T09:00:00,30/09/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-01T09:00:00,01/10/2000,12,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-02T09:00:00,02/10/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-03T09:00:00,03/10/2000,1,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-04T09:00:00,04/10/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-05T09:00:00,05/10/2000,2.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-06T09:00:00,06/10/2000,5,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-07T09:00:00,07/10/2000,2.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-08T09:00:00,08/10/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-09T09:00:00,09/10/2000,19,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-10T09:00:00,10/10/2000,11.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-11T09:00:00,11/10/2000,2.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-12T09:00:00,12/10/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-13T09:00:00,13/10/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-14T09:00:00,14/10/2000,0.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-15T09:00:00,15/10/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-16T09:00:00,16/10/2000,1,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-17T09:00:00,17/10/2000,8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-18T09:00:00,18/10/2000,1.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-19T09:00:00,19/10/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-20T09:00:00,20/10/2000,6.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-21T09:00:00,21/10/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-22T09:00:00,22/10/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-23T09:00:00,23/10/2000,5,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-24T09:00:00,24/10/2000,3,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-25T09:00:00,25/10/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-26T09:00:00,26/10/2000,3.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-27T09:00:00,27/10/2000,9.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-28T09:00:00,28/10/2000,9.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-29T09:00:00,29/10/2000,51.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-30T09:00:00,30/10/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-10-31T09:00:00,31/10/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-01T09:00:00,01/11/2000,18.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-02T09:00:00,02/11/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-03T09:00:00,03/11/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-04T09:00:00,04/11/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-05T09:00:00,05/11/2000,31.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-06T09:00:00,06/11/2000,15.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-07T09:00:00,07/11/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-08T09:00:00,08/11/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-09T09:00:00,09/11/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-10T09:00:00,10/11/2000,3.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-11T09:00:00,11/11/2000,1.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-12T09:00:00,12/11/2000,,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-13T09:00:00,13/11/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-14T09:00:00,14/11/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-15T09:00:00,15/11/2000,8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-16T09:00:00,16/11/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-17T09:00:00,17/11/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-18T09:00:00,18/11/2000,1.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-19T09:00:00,19/11/2000,1.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-20T09:00:00,20/11/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-21T09:00:00,21/11/2000,6.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-22T09:00:00,22/11/2000,0.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-23T09:00:00,23/11/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-24T09:00:00,24/11/2000,2.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-25T09:00:00,25/11/2000,1.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-26T09:00:00,26/11/2000,1,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-27T09:00:00,27/11/2000,9.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-28T09:00:00,28/11/2000,0.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-29T09:00:00,29/11/2000,1.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-11-30T09:00:00,30/11/2000,13,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-01T09:00:00,01/12/2000,4.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-02T09:00:00,02/12/2000,2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-03T09:00:00,03/12/2000,15.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-04T09:00:00,04/12/2000,3.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-05T09:00:00,05/12/2000,12.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-06T09:00:00,06/12/2000,8.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-07T09:00:00,07/12/2000,22.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-08T09:00:00,08/12/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-09T09:00:00,09/12/2000,9,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-10T09:00:00,10/12/2000,6.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-11T09:00:00,11/12/2000,5.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-12T09:00:00,12/12/2000,18.6,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-13T09:00:00,13/12/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-14T09:00:00,14/12/2000,0.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-15T09:00:00,15/12/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-16T09:00:00,16/12/2000,1.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-17T09:00:00,17/12/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-18T09:00:00,18/12/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-19T09:00:00,19/12/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-12-20T09:00:00,20/12/2000,,Incomplete,Good,
