measure,dateTime,date,value,completeness,quality,qcode,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-01-31T09:00:00,31/01/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-01T09:00:00,01/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-02T09:00:00,02/02/2000,7.013151,Incomplete,Estimated,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-03T09:00:00,03/02/2000,7.013151,Incomplete,Missing,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-04T09:00:00,04/02/2000,7.013151,Incomplete,Missing,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-05T09:00:00,05/02/2000,7.013151,Incomplete,Missing,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-06T09:00:00,06/02/2000,7.013151,Incomplete,Missing,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-07T09:00:00,07/02/2000,7.013151,Incomplete,Missing,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-08T09:00:00,08/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-09T09:00:00,09/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-10T09:00:00,10/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-11T09:00:00,11/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-12T09:00:00,12/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-13T09:00:00,13/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-14T09:00:00,14/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-15T09:00:00,15/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-16T09:00:00,16/02/2000,7.013151,Incomplete,Good,,,,
http://environment.data.gov.uk/hydrology/id/measures/c0d52925-b2bd-4ccd-9538-411b7871e984-rainfall-t-86400-mm-qualified,2000-02-17T09:00:00,17/02/2000,7.013151,Incomplete,Good,,,,
