Easting,Northing,Site_ID,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Method,Erosion_Rate,Pathway,Reference,Link
632500,154500,22,1987,1989,1,Caesium-137,4.3,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
541500,110500,23,1987,1989,1,Caesium-137,1.4,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
377500,294500,24,1987,1989,1,Caesium-137,6.5,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
585500,336500,25,1987,1989,1,Caesium-137,2.4,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
378500,295500,26,01/12/1985,01/01/1991,1,Runoff and sediment collection,11.3,Water,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x
378500,295500,27,01/12/1986,01/12/1992,5,Runoff and sediment collection,0.008,Water,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x
368500,792500,28,1984,1985,1,Volumetric survey,7.749,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
361500,827500,29,1984,1985,1,Volumetric survey,1.968,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
378500,782500,30,1984,1985,1,Volumetric survey,2.583,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
359500,799500,31,1984,1985,1,Volumetric survey,10.209,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
361500,827500,32,1984,1985,1,Volumetric survey,6.15,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
372500,777500,33,1984,1985,1,Volumetric survey,1.968,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
366500,749500,34,1984,1985,1,Volumetric survey,13.53,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
377500,783500,35,1984,1985,1,Volumetric survey,4.305,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,781500,36,1984,1985,1,Volumetric survey,2.337,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
378500,782500,37,1984,1985,1,Volumetric survey,22.14,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
381500,769500,38,1984,1985,1,Volumetric survey,4.797,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,784500,39,1984,1985,1,Volumetric survey,21.156,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,776500,40,1984,1985,1,Volumetric survey,28.044,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
375500,773500,41,1985,1986,1,Volumetric survey,0.246,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
378500,776500,42,1985,1986,1,Volumetric survey,1.353,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
374500,772500,43,1985,1986,1,Volumetric survey,1.107,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
369500,773500,44,1985,1986,1,Volumetric survey,0.615,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
364500,773500,45,1985,1986,1,Volumetric survey,0.492,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
385500,787500,46,1985,1986,1,Volumetric survey,3.813,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
384500,775500,47,1985,1986,1,Volumetric survey,1.845,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
362500,774500,48,1985,1986,1,Volumetric survey,2.952,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
369500,760500,49,1985,1986,1,Volumetric survey,12.915,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,776500,50,1985,1986,1,Volumetric survey,3.075,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,776500,51,1985,1986,1,Volumetric survey,2.214,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
379500,776500,52,1985,1986,1,Volumetric survey,2.091,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
368500,756500,53,1985,1986,1,Volumetric survey,1.599,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
365500,749500,54,1985,1986,1,Volumetric survey,10.086,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
378500,782500,55,1985,1986,1,Volumetric survey,48.339,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
385500,788500,56,1985,1986,1,Volumetric survey,44.28,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068
